id,parents,labels
DESC144585,DESC144572,Basse-Franconie
LEXICON_00000006,DESC144572,Basse-Saxe
DESC144586,DESC144572,Bautzen
DESC144587,DESC144572,Bavière
DESC1150994,DESC144587,Valley
DESC144588,DESC144572,Bayreuth
DESC144589,DESC144572,Beckum
DESC144591,DESC144572,Berchtesgaden
DESC144592,DESC144572,Berlin
DESC142696,DESC144572,Berne
DESC143102,DESC144572,Biberach
DESC875714,DESC144572,Biebrich
DESC1046196,DESC144572,Bielefeld
DESC139355,DESC144572,Blankenburg
DESC144594,DESC144572,Bochum
DESC141055,DESC144572,Bonn
DESC144597,DESC144572,Brême
DESC144598,DESC144572,Breslau
DESC144600,DESC144572,Brunswick
DESC144601,DESC144572,Bubenreuth
DESC144604,DESC144572,Burgau
DESC144606,DESC144572,Butzbach
DESC144609,DESC144572,Cassel
DESC141169,DESC144572,Coblence
DESC144613,DESC144572,Cologne
DESC818793,DESC144572,Dachau
DESC144616,DESC144572,Darmstadt
DESC138316,DESC144572,Deggendorf
DESC144618,DESC144572,Donaueschingen
DESC899489,DESC144572,Donauworth
DESC144621,DESC144572,Dresde
DESC936070,DESC144572,Dusseldorf
DESC1010711,DESC144572,Eisenach
DESC144628,DESC144572,Ellingen
DESC144629,DESC144572,Ellwangen
DESC144632,DESC144572,Endingen
DESC144633,DESC144572,Engels
DESC144634,DESC144572,Erfurt
DESC144635,DESC144572,Erlangen
DESC144637,DESC144572,Erlenbach
DESC144638,DESC144572,Essen
DESC144641,DESC144572,Fischbeck
DESC138226,DESC144572,Francfort-sur-le-main
DESC958451,DESC144572,Francfort-sur-l'Oder
DESC144643,DESC144572,Frankenhardt
DESC144645,DESC144572,Fraustadt
DESC139097,DESC144572,Freiberg
DESC141174,DESC144572,Fribourg-en-Brisgau
DESC144646,DESC144572,Friedberg
